Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-06
Horizontal Delay,0
Sample Interval,2e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,-5
,
,
,
Label,
TIME,CH1
-8.1820e-06,0.304
-8.1800e-06,0.302
-8.1780e-06,0.306
-8.1760e-06,0.306
-8.1740e-06,0.306
-8.1720e-06,0.306
-8.1700e-06,0.308
-8.1680e-06,0.308
-8.1660e-06,0.31
-8.1640e-06,0.31
-8.1620e-06,0.312
-8.1600e-06,0.312
-8.1580e-06,0.312
-8.1560e-06,0.314
-8.1540e-06,0.314
-8.1520e-06,0.314
-8.1500e-06,0.316
-8.1480e-06,0.318
-8.1460e-06,0.318
-8.1440e-06,0.318
-8.1420e-06,0.32
-8.1400e-06,0.32
-8.1380e-06,0.32
-8.1360e-06,0.32
-8.1340e-06,0.32
-8.1320e-06,0.324
-8.1300e-06,0.324
-8.1280e-06,0.328
-8.1260e-06,0.324
-8.1240e-06,0.328
-8.1220e-06,0.328
-8.1200e-06,0.33
-8.1180e-06,0.332
-8.1160e-06,0.33
-8.1140e-06,0.33
-8.1120e-06,0.332
-8.1100e-06,0.334
-8.1080e-06,0.334
-8.1060e-06,0.334
-8.1040e-06,0.334
-8.1020e-06,0.336
-8.1000e-06,0.338
-8.0980e-06,0.34
-8.0960e-06,0.34
-8.0940e-06,0.34
-8.0920e-06,0.342
-8.0900e-06,0.344
-8.0880e-06,0.344
-8.0860e-06,0.342
-8.0840e-06,0.344
-8.0820e-06,0.344
-8.0800e-06,0.346
-8.0780e-06,0.344
-8.0760e-06,0.346
-8.0740e-06,0.348
-8.0720e-06,0.348
-8.0700e-06,0.348
-8.0680e-06,0.348
-8.0660e-06,0.35
-8.0640e-06,0.352
-8.0620e-06,0.352
-8.0600e-06,0.352
-8.0580e-06,0.354
-8.0560e-06,0.356
-8.0540e-06,0.354
-8.0520e-06,0.356
-8.0500e-06,0.356
-8.0480e-06,0.358
-8.0460e-06,0.36
-8.0440e-06,0.36
-8.0420e-06,0.362
-8.0400e-06,0.36
-8.0380e-06,0.364
-8.0360e-06,0.364
-8.0340e-06,0.364
-8.0320e-06,0.366
-8.0300e-06,0.368
-8.0280e-06,0.37
-8.0260e-06,0.37
